author,a_ref,title,ref,tag,time
AlexOleynik,'https://habr.com/ru/users/AlexOleynik/',Разработка веб-скрапера для извлечения данных с портала открытых данных России data.gov.ru,'https://habr.com/ru/post/323202/',"Программирование *, .NET *, C# *, ",4  марта  2017 в 14:04
maxpy,'https://habr.com/ru/users/maxpy/',"Pygest #22. Релизы, статьи, интересные проекты, пакеты и библиотеки из мира Python [18 января 2018 — 4 февраля 2018]",'https://habr.com/ru/post/348384/',"Python *, Читальный зал , ",7  февраля  2018 в 09:33
gonzazoid,'https://habr.com/ru/users/gonzazoid/',Определяем Phantom-ных ботов,'https://habr.com/ru/post/303378/',"JavaScript *, ",24  сентября  2016 в 14:57
walkmanake,'https://habr.com/ru/users/walkmanake/',Ещё один способ обновления торрентов,'https://habr.com/ru/post/135874/',"Python *, ",10  января  2012 в 15:54
fshchudlo,'https://habr.com/ru/users/fshchudlo/',Почему я больше не использую MVC-фреймворки,'https://habr.com/ru/post/277113/',"Разработка веб-сайтов *, JavaScript *, Функциональное программирование *, Angular *, ReactJS *, ",12  февраля  2016 в 18:17
mezastel,'https://habr.com/ru/users/mezastel/',"Data acquisition, часть 4",'https://habr.com/ru/post/94960/',".NET *, ",30  мая  2010 в 18:20
Andrew29,'https://habr.com/ru/users/Andrew29/',15 топовых веб скрапинг решений 2021 года,'https://habr.com/ru/post/543760/',"Data Mining *, Big Data *, ",23  февраля   в 14:58
olegchir,'https://habr.com/ru/users/olegchir/',TOП-10: разбор лучших докладов HolyJS 2017 Moscow,'https://habr.com/ru/company/jugru/blog/350164/',"Блог компании JUG Ru Group , Веб-дизайн *, JavaScript *, Node.JS *, Конференции , ",28  февраля  2018 в 13:45
itforge,'https://habr.com/ru/users/itforge/',Grab — python библиотека для парсинга сайтов,'https://habr.com/ru/post/127584/',"Python *, ",2  сентября  2011 в 14:37
mmans,'https://habr.com/ru/users/mmans/',Разработка веб-приложений в PicoLisp,'https://habr.com/ru/post/178235/',"Разработка веб-сайтов *, Lisp *, Функциональное программирование *, ",28  апреля  2013 в 16:51
devrazdev,'https://habr.com/ru/users/devrazdev/',Измеряя Telegram,'https://habr.com/ru/post/333344/',"Веб-аналитика *, Интернет-маркетинг , Повышение конверсии *, Поисковая оптимизация , ",14  июля  2017 в 15:41
LukaSafonov,'https://habr.com/ru/users/LukaSafonov/',OWASP Automated Threat: автоматизированные угрозы веб-приложений,'https://habr.com/ru/company/owasp/blog/349700/',"Блог компании OWASP , Информационная безопасность *, ",22  февраля  2018 в 13:37
Ermakov22,'https://habr.com/ru/users/Ermakov22/',"Парсим любой сайт за считанные секунды. Как достать нужную информацию с сайта используя Selenium, XPath и Proxy Sever",'https://habr.com/ru/post/516104/',"Google Chrome , C# *, Тестирование веб-сервисов *, ",21  августа  2020 в 15:13
Dzirtik,'https://habr.com/ru/users/Dzirtik/',"Конференция YAPC::Russia::MayPerl 2015 в Москве 16-17 мая, не пропусти",'https://habr.com/ru/company/mailru/blog/257959/',"Блог компании Mail.ru Group , Perl *, ",15  мая  2015 в 11:15
AloneCoder,'https://habr.com/ru/users/AloneCoder/',Веб-скрейпинг на PHP,'https://habr.com/ru/company/mailru/blog/565028/',"Блог компании Mail.ru Group , PHP *, Программирование *, Тестирование веб-сервисов *, ",28  июня   в 15:21
noonv,'https://habr.com/ru/users/noonv/',Учим робота готовить пиццу. Часть 1: Получаем данные,'https://habr.com/ru/post/335444/',"Python *, Data Mining *, Машинное обучение *, ",11  августа  2017 в 16:19
ph_piter,'https://habr.com/ru/users/ph_piter/',Книга «Прагматичный ИИ. Машинное обучение и облачные технологии»,'https://habr.com/ru/company/piter/blog/439990/',"Блог компании Издательский дом «Питер» , Python *, Облачные вычисления *, Профессиональная литература , ",13  февраля  2019 в 12:52
ellen_stepnaya,'https://habr.com/ru/users/ellen_stepnaya/',"Как выбрать решение для парсинга сайтов: классификация и большой обзор программ, сервисов и фреймворков",'https://habr.com/ru/post/521646/',"Разработка под e-commerce *, Интернет-маркетинг , ",1  октября  2020 в 17:17
ru_vds,'https://habr.com/ru/users/ru_vds/',"Python — помощник в поиске недорогих авиабилетов для тех, кто любит путешествовать",'https://habr.com/ru/company/ruvds/blog/451872/',"Блог компании RUVDS.com , Разработка веб-сайтов *, Python *, Хранение данных *, ",16  мая  2019 в 12:00
ne555,'https://habr.com/ru/users/ne555/',"Snoop Project невероятный инструмент интернет разведки, которого пользователи рунета ждали так долго — доступен",'https://habr.com/ru/post/488432/',"Информационная безопасность *, Поисковые технологии *, Open source *, Поисковая оптимизация , ",14  февраля  2020 в 19:57
kms_msk,'https://habr.com/ru/users/kms_msk/',Ранжирование округов Москвы по стоимости аренды с Python,'https://habr.com/ru/post/494202/',"Ненормальное программирование *, Python *, ",26  марта  2020 в 13:53
Semin_Pavel,'https://habr.com/ru/users/Semin_Pavel/',Парсинг — это законно?,'https://habr.com/ru/post/545818/',"Законодательство в IT , ",10  марта   в 15:01
teleincom_admin,'https://habr.com/ru/users/teleincom_admin/',Функционал современных систем защиты приложений (WAF) должен быть гораздо шире списка уязвимостей из OWASP Топ 10,'https://habr.com/ru/post/476490/',"Информационная безопасность *, Сетевые технологии *, Сетевое оборудование , ",19  ноября  2019 в 17:27
ilusha_sergeevich,'https://habr.com/ru/users/ilusha_sergeevich/',Несколько интересностей и полезностей для веб-разработчика #42,'https://habr.com/ru/post/256117/',"Разработка веб-сайтов *, CSS *, JavaScript *, HTML *, ",20  апреля  2015 в 03:00
i_shutov,'https://habr.com/ru/users/i_shutov/',Еще примеры использования R для решения практических бизнес-задач,'https://habr.com/ru/post/315870/',"Data Mining *, Big Data *, R *, ",22  ноября  2016 в 17:24
dklmn,'https://habr.com/ru/users/dklmn/',Статистика по стоимости недвижимости — визуализация на карте,'https://habr.com/ru/post/324596/',"Data Mining *, Геоинформационные сервисы *, Визуализация данных , ",22  марта  2017 в 16:09
ProductivityInside,'https://habr.com/ru/users/ProductivityInside/',Дайджест IT событий ноября (часть вторая),'https://habr.com/ru/company/productivity_inside/blog/428588/',"Блог компании Productivity Inside , Хакатоны , Учебный процесс в IT , Конференции , ",21  ноября  2018 в 13:59
teleincom_admin,'https://habr.com/ru/users/teleincom_admin/',Как E-commerce-площадкам противостоять ботнетам “AuthBots”?,'https://habr.com/ru/post/490816/',"Информационная безопасность *, Исследования и прогнозы в IT , Управление e-commerce *, ",3  марта  2020 в 11:51
ashutay,'https://habr.com/ru/users/ashutay/',SSR для Bitrix с Vue.js без Nuxt.js: как не потерять поисковую индексацию,'https://habr.com/ru/company/agima/blog/578056/',"Блог компании Агентство AGIMA , JavaScript *, ",вчера в 16:26
Egiptyanin,'https://habr.com/ru/users/Egiptyanin/',Coffee'n'Code в Харькове: Первая встреча,'https://habr.com/ru/post/69654/',"Я пиарюсь , ",15  сентября  2009 в 00:56
Dead_Angel,'https://habr.com/ru/users/Dead_Angel/',"Python-digest #34. Новости, интересные проекты, статьи и интервью [20 июля 2014 — 27 июля 2014]",'https://habr.com/ru/post/231255/',"Python *, ",28  июля  2014 в 04:41
tonymadbrain,'https://habr.com/ru/users/tonymadbrain/',Веб-парсинг на Ruby,'https://habr.com/ru/post/252379/',"Ruby *, Программирование *, ",6  марта  2015 в 17:40
pronskiy,'https://habr.com/ru/users/pronskiy/',"PHP-Дайджест № 68 – интересные новости, материалы и инструменты (27 июля – 24 августа 2015)",'https://habr.com/ru/company/zfort/blog/265291/',"Блог компании Zfort Group , Разработка веб-сайтов *, PHP *, ",24  августа  2015 в 03:42
ianbrode,'https://habr.com/ru/users/ianbrode/',Moscow Python Meetup №32,'https://habr.com/ru/company/rambler_and_co/blog/276579/',"Блог компании Rambler&Co , ",4  февраля  2016 в 15:19
Alf162,'https://habr.com/ru/users/Alf162/',Обзор материалов по машинному обучению (13 — 20 февраля 2017 года),'https://habr.com/ru/post/322188/',"Математика *, Машинное обучение *, ",20  февраля  2017 в 10:19
makasin4ik,'https://habr.com/ru/users/makasin4ik/',"10 инструментов, позволяющих парсить информацию с веб-сайтов, включая цены конкурентов + правовая оценка для России",'https://habr.com/ru/post/340038/',"Я пиарюсь , ",13  октября  2017 в 14:44
Efaldgent,'https://habr.com/ru/users/Efaldgent/',"Совмещение R и Python: зачем, когда и как?",'https://habr.com/ru/company/ods/blog/348260/',"Блог компании Open Data Science , Python *, Data Mining *, Big Data *, R *, ",8  ноября  2018 в 14:00
noorsoftprod,'https://habr.com/ru/users/noorsoftprod/',Парсинг сайта кинотеатра на Golang,'https://habr.com/ru/post/493088/',"Go *, ",19  марта  2020 в 15:14
BiZone_team,'https://habr.com/ru/users/BiZone_team/',Качественные фиды на примере оценки OSINT-источников,'https://habr.com/ru/company/bizone/blog/572128/',"Блог компании BI.ZONE , Информационная безопасность *, ",13  августа   в 12:12
polozad,'https://habr.com/ru/users/polozad/',Анализ TSDB в Prometheus 2,'https://habr.com/ru/company/funcorp/blog/445370/',"Блог компании FUNCORP , IT-инфраструктура *, DevOps *, ",27  марта  2019 в 14:38
chemtech,'https://habr.com/ru/users/chemtech/',Dashboard Postgresql Overview для postgres_exporter (Prometheus),'https://habr.com/ru/post/501696/',"Системное администрирование *, PostgreSQL *, SQL *, Администрирование баз данных *, DevOps *, ",13  мая  2020 в 10:29
DmVlR,'https://habr.com/ru/users/DmVlR/',RPA инструменты и не только…,'https://habr.com/ru/post/561270/',"Тестирование IT-систем *, Анализ и проектирование систем *, Управление разработкой *, Софт , Визуальное программирование *, ",6  июня   в 15:15
lostmsu,'https://habr.com/ru/users/lostmsu/',Writing billion songs with C# and Deep Learning,'https://habr.com/ru/post/453232/',".NET *, Машинное обучение *, Искусственный интеллект , Будущее здесь , ",24  мая  2019 в 01:14
myardyas,'https://habr.com/ru/users/myardyas/',Дружим Prometheus с Caché,'https://habr.com/ru/company/intersystems/blog/318940/',"Блог компании InterSystems , Администрирование баз данных *, ",10  января  2017 в 13:40
snakers4,'https://habr.com/ru/users/snakers4/',Building client routing / semantic search at Profi.ru,'https://habr.com/ru/post/428674/',"Машинное обучение *, Natural Language Processing *, ",3  ноября  2018 в 13:02
arukraine,'https://habr.com/ru/users/arukraine/',Whois: практическое руководство пользователя,'https://habr.com/ru/post/165869/',"Разработка веб-сайтов *, Python *, ",15  января  2013 в 13:20
ilusha_sergeevich,'https://habr.com/ru/users/ilusha_sergeevich/',Несколько интересностей и полезностей для веб-разработчика #44,'https://habr.com/ru/post/258977/',"Разработка веб-сайтов *, CSS *, JavaScript *, HTML *, ",31  мая  2015 в 23:35
Lost63,'https://habr.com/ru/users/Lost63/',Автоматизация ip-сети с помощью подручных инструментов (Python),'https://habr.com/ru/post/263859/',"Python *, ",30  июля  2015 в 16:00
Cuckoops,'https://habr.com/ru/users/Cuckoops/',Ключевые навыки Python-программиста,'https://habr.com/ru/post/500952/',"Python *, Визуализация данных , Исследования и прогнозы в IT , Карьера в IT-индустрии , ",7  мая  2020 в 18:51
Tarson,'https://habr.com/ru/users/Tarson/',"Эволюция или делаем базу для роботележки на ARDUINO платформе, а сенсоры и видео гоним на компьютер через смартфон",'https://habr.com/ru/post/448516/',"Java *, Разработка под Android *, Разработка под Arduino *, DIY или Сделай сам , ",18  апреля  2019 в 01:32
ilusha_sergeevich,'https://habr.com/ru/users/ilusha_sergeevich/',Несколько интересностей и полезностей для веб-разработчика #26,'https://habr.com/ru/post/234417/',"Разработка веб-сайтов *, JavaScript *, ",1  сентября  2014 в 15:00
wmlex,'https://habr.com/ru/users/wmlex/',Тонкий клиент HP в качестве домашнего роутера и файл-сервера,'https://habr.com/ru/post/273547/',"Настройка Linux *, ",22  декабря  2015 в 18:37
myardyas,'https://habr.com/ru/users/myardyas/',"GUI на Grafana для mgstat — утилиты мониторинга системы на InterSystems Caché, Ensemble или HealthShare",'https://habr.com/ru/company/intersystems/blog/331594/',"Блог компании InterSystems , Системное администрирование *, Серверное администрирование *, Администрирование баз данных *, ",29  июня  2017 в 07:38
Shapelez,'https://habr.com/ru/users/Shapelez/',Internet Issues & Availability Report 2018–2019,'https://habr.com/ru/company/qrator/blog/440058/',"Блог компании Qrator Labs , Информационная безопасность *, Сетевые технологии *, ",12  февраля  2019 в 18:57
taluks,'https://habr.com/ru/users/taluks/',Подключение Micrometer для веб-приложения на Java,'https://habr.com/ru/post/442080/',"Java *, ",1  марта  2019 в 18:51
MaxRokatansky,'https://habr.com/ru/users/MaxRokatansky/',О наблюдаемости микросервисов в Kubernetes,'https://habr.com/ru/company/otus/blog/547552/',"Блог компании OTUS , Микросервисы *, Kubernetes *, ",17  марта   в 16:11
Polina_Averina,'https://habr.com/ru/users/Polina_Averina/',Секреты observability. Часть 1: метрики,'https://habr.com/ru/company/southbridge/blog/569860/',"Блог компании Southbridge , Системное администрирование *, IT-инфраструктура *, Серверное администрирование *, DevOps *, ",28  июля   в 11:28
DaylightIsBurning,'https://habr.com/ru/users/DaylightIsBurning/',Многопользовательская торрент-качалка на transmission,'https://habr.com/ru/post/168767/',"Децентрализованные сети , *nix *, ",8  февраля  2013 в 17:13
pavel_manylov,'https://habr.com/ru/users/pavel_manylov/',Apple Music для разработчика,'https://habr.com/ru/post/464811/',"Разработка под iOS *, Разработка мобильных приложений *, API *, ",26  августа  2019 в 07:52
victoremelian,'https://habr.com/ru/users/victoremelian/',Kubernetes: почему так важно настроить управление ресурсами системы?,'https://habr.com/ru/company/nixys/blog/480072/',"Блог компании Nixys , IT-инфраструктура *, Серверное администрирование *, DevOps *, Kubernetes *, ",14  января  2020 в 07:16
ilmarin77,'https://habr.com/ru/users/ilmarin77/',Using Data Science for house hunting in Montreal,'https://habr.com/ru/post/490546/',"Data Mining *, R *, DIY или Сделай сам , ",1  марта  2020 в 10:28
